text,label,rating,source,restaurant,location
Shadhin is awesome. Nice ambience here. Quiet and cool.,positive,5.0,google,The BBP,Petaling Jaya
Huge variety of food choices - ranging from local food to western cuisine. Affordable prices. Food is good. Chicken chop black pepper sauce is flavourful. Live band from Fri-Sun 9pm onwards. Sings Mandarin songs. Singer and guitarist were,positive,4.0,google,Mount Austin One Two Eat Cafe,JB
"Set Lunch - Nothing stands out. Bolognese is too tomatoey, tending to the sour side. Hardly any beef ragout. Risotto was more like chinese rice soup. Not creamy. Dessert cake was cendol flavour....how did that even go with the whole Italian meal?? What were they thinking?",negative,2.0,google,Opus Bistro,Petaling Jaya
Panas semacam and inconsistent service quality. Too loud at night and not suitable for relaxing dinner.,negative,2.0,google,Kopi O' Corner,Kuching
Compared to local places this is very expensive. Staff was attentive and helpful. Rhett is a nice outdoor sitting area beside the smelly river,neutral,3.0,tripadvisor,Hard Rock Cafe,Melaka
It’s popular in bangsar with lots of customers everyday. The dishes probably you can get it anywhere without paying too much. It’s popular versus personal choice!,neutral,3.0,tripadvisor,Sri Nirwana Maju Restaurant,KL
Waiter's attitude is not good,negative,1.0,google,Moonlight Cake House (Sutera Utama),JB
"Heard so much of this fish head curry restaurant so we have decided to give it a try. My partner has eaten there before but I haven’t. The queue when we were there at ard 1215pm on a Friday was decent, only took us 10 mins to get a small table for ourselves. Ordered a medium size curry fish head pot and I must said the taste is just alright, I have definitely tasted much better similar dishes in KL and PG. Staffs are friendly, nevertheless. Floor can be a little slippery so pls walk carefully.",neutral,3.0,tripadvisor,Kam Long Curry Fish Head,JB
Just taste great,neutral,3.0,google,Tracy's Kitchen,Kuching
"Good service, foods are not bad. Sunlight reflection is strong in the afternoon.",neutral,3.0,google,Howdy Grillhouse,Kuching
Because I haven't been.,negative,2.0,google,Restoran Pekin,JB
Slow service ..on christmas 25/12/16 about 23 ppl gathering 8.20 pm .food arrival 9.35 😡and but bil 7k++ ...poor guest wait with hunger ..Need upgrade service!,negative,1.0,google,Chynna,Petaling Jaya
Food is fine.... But waiting time too long....,negative,1.0,google,Howdy Grillhouse,Kuching
"Restaurant reasonable price, not too expensive. Fresh food, but the chef's cooking it needs to be strengthened. Evening, parking is not too hard to find.",neutral,3.0,google,Hao Yun Restaurant（苦瓜汤，炸肉，姜茸松鱼头）,JB
"The environment is good, the food is OK, the price is moderate, and the service is thoughtful.",neutral,3.0,google,KS Treasures Restaurant,JB
The service is toooooooo slowwwwwww. If dont have like 1.5 hours to spare. I would suggest to eat elsewhere.,negative,2.0,google,myBurgerLab OUG,Petaling Jaya
"Madlis is one of Miri nice restaurant and also prepare nice food.. Last time it was good with the friendly waiter n waitress but nowadays very poor in serving customer, mostly indonesian.. Can u imagine one satay cost RM1?? Pls if u wanna be good in all criteria pls review your price and keep on serving good food",neutral,3.0,tripadvisor,Madli's,Miri
"Was attending a conference in the MO, and ate here a couple of times. The food was delicious however the service left a lot to be desired. They seemed to be overwhelmed by the number of guests they received from the conference, Service was extremely slow and had to complain on at least one occasion to get orders delivered. Especially vital when people at conferences will be on a very tight schedule normally. Food delivery was also very slow.",neutral,3.0,tripadvisor,Mandarin Grill,KL
"Nice decor, cozy place.Ordered Apple and nut salad, and it was the size of a mains! Also ordered a chicken cottage pie, and an Asian fried rice, with 2 non alcoholic drinks. Cottage pie was really tasty, wished the salad had more apple in it, fried rice was alright.Whole meal cost us $99.50 probably expensive by local standards but I guess what we ordered could probably feed 3 persons..Walking distance to many duty free shops and a taxi stand.",positive,4.0,tripadvisor,Arts Cafe Langkawi,Langkawi
"Lots of choice of Malay food, but couldn't tell what they were as they weren't labelled. We came quite near to closing time around 4 pm which might explain why much of the food was cold, so I think we missed out on the real taste. Excellent",neutral,3.0,google,Restoran Kak Yan Nasi Campur,Langkawi
Bad service and bad food and prices are very high and unlogic50 minutes waiting order then cheken coming with blood 🤑🤮,negative,1.0,google,Hadramawt Langkawi Restaurant,Langkawi
"This is where I broke my vow to not have breakfast in any hotel on this trip. I wanted to save my appetite for as much street food as I could, but the variety here was just too tempting to pass on, as they had something for everyone. Whether you wanted a continental breakfast or an oriental one, these folks had it all. I'm so glad we ventured here, because it was here that I had the most unique boiled egg with Bubur Ayam. I have been trying so hard to understand how they stained the whites to black, and I really hope the hotel can solve the mystery for me once they read this post. I wish I had the desire to have the delicious noodle soups that were being prepared fresh and customized to everyone's preferences, or some Nasi Lemak; but I was really just in the mood for something sweet and conventional so I had a waffle with peanut butter and berry compote, and soul-soothing TWG Japanese Sencha tea, and some fresh juice to kick start the day!",positive,5.0,tripadvisor,Essence Restaurant,KL
"Clean with proper SOP guidelines. All food tastes fine, except for noodles section, especially fried mee or kueh tiaw as they tasted too ""pepper-ish"" during my last visit. All-in-all, love the place for the family-friendly vibe.",positive,4.0,google,I Cafe,Kuching
Great food. Fast service. Slightly pricey but worth the taste.,positive,5.0,google,It Roo Cafe,JB
Tasty food,positive,4.0,google,Restoran Maju Jaya,Kuching
"Clay pot chicken was average, can easily find better one elsewhere. The soup was good though. Spacious restaurant, occupying two shop lots, no air conditioning.",neutral,3.0,google,K Ten Claypot Chicken Rice,Ipoh
"The ambience, music and fresh air were nice. The shisha, the cocktails and the waiters were good but the food was completely overpriced. The pizza was crap, not homemade base which is a bit ridiculous for this place and the price of it and it was tiny, not even enough for a child... the shawarma tasted good but tiny portion too... would not recommend this place for dinner but for cocktails and shisha could be nice. We were told downstairs which one was our table and even when the place was half empty during our stay still they would not allow us to choose a different table that was empty all the time. Overpriced and overrated completely.",negative,2.0,tripadvisor,Canopy Rooftop Bar and Lounge,KL
My worse experience in KL. I used to come to this place few years ago and liked it a lot. Now Vin’s recently rebranded themselves as an Italian restaurant .. It was Valentine’s. At the arrival one of the waiters smash a bottle of red juice,negative,1.0,google,Vin's Restaurant,KL
My advise don't go there is a lot of good and tasty indian food around melaka..the price that we ate i think around rm90 but they calculated as rm125.20 when asked they said...we took the food by plate...which i think they charged a lot....don't2 ever..to this rest again.....,negative,1.0,google,Selvam Restaurant,Melaka
"I have tried their buffet dinner, but the food was just average, nothing extraordinary. The service was so slow, took forever to even get a glass of water.",neutral,3.0,tripadvisor,Paya Serai,Shah Alam
"Over charged us on the seafood. Our family open restaurants too and we know roughly how heavy of the seafood before and after cooked. Is ok if they want to be dishonest and charge slightly heavier but do not charge us 40% extra, that's",negative,1.0,google,Restaurant Siu Siu - Sungai Besi,Petaling Jaya
"Lovely service and setting - it's at the famous Petronas Towers 56th floor. Kids under 12 not allowed in the building pls noteSome unique dishes from HONG kong's Nobu! Miso Chips, Octopus/Lobster tacos, spicy rice cubes with a tartar topping, a couple of jalapeño dishes, the rolls ofcourse are all rocking! The bar list is extensive - the saki is reasonable - go for some!Dessert of a chocolate ball which melts down is exclusive. A must try. A treat or the eyes as well as the tummy!",positive,5.0,tripadvisor,Nobu Kuala Lumpur,KL
the laksa is nice but too thick and mee kolok has no good taste or plain... but last time in 2018 the mee kolok is delicious,neutral,3.0,google,Mom's Laksa Kopitiam,Kuching
We have been here more than once. Great place to hang out..nice lychee martini...good food...just a walk distance fron our hotel. Friendly staff..,positive,4.0,tripadvisor,Healy Mac's 12 Bar Cafe,KL
"A Waffle A Day Keeps The Blues Away💕First off, this is a review on their food delivery and not dine-in.",neutral,3.0,google,The Living Room,KL
362 charcoal savory cake can accept the scent is not bad. His sales office is in Kunlun Louxin Village Street. I evaluate him three stars.,neutral,3.0,google,362 Heong Peah 362炭烧香饼,Ipoh
Arabian food by Pakistani chef,positive,5.0,google,Nur Tahara Restaurant,JB
"Had a really fun experience here. We were on the other side of the beach but saw a Pyro show so we walked towards it. Ended up at Kalut and it was awesome! The staff is really friendly, the drinks reasonably priced and the best thing, no",positive,5.0,google,Kalut Cafe And Bar,Langkawi
Poor service. Very rude to customers,negative,1.0,google,Serapi Garden Cafe,Kuching
"I have stayed in usa for 6 years and there has not been a single disappointment in my entire experience , however the chili’s in petronas tower is horrible , my steak was over cooked (I honestly feel they don’t know the difference between different done-ness) - one of my friends did not get his food over 40 minutes despite reminding them multiple times - chili’s u need to investigate this branch !",negative,1.0,tripadvisor,Chilli's,KL
Beautiful environment,neutral,3.0,google,PappaRich Langkawi,Langkawi
"The banana leaf rice here is still very good. The fried foods and curries too. But because they are so popular, they take their clientele for granted and really don't care whether or not you get served on time. Nor do they care to tell you",neutral,3.0,google,Sri Nirwana Maju Restaurant - Bangsar,KL
"Portions are small for 10pax.Prices are expensive for small portion. The deep fried chicken was dry and it tasted not fresh. The chicken may have been re-fried, not freshly fried upon order. Service was friendly.",neutral,3.0,google,Putien @ 1 Utama Shopping Centre,Petaling Jaya
Now is expensive to eat here. Quality still ok,neutral,3.0,google,Fatty Mee Hoon Kuih House (Klang),Shah Alam
"This place has the best western food in Kuala Lumpur and always have dinner here when visiting. The wagyu bolognese is to die for and the roast chicken is unbeatable.

Service is excellent, friendly, and beautiful setting.",positive,5.0,tripadvisor,Marble 8,KL
"Visited this place today, food is great and they have a very nice serving staff, thank you for the evening!",positive,5.0,tripadvisor,Gallo Nero Italian Restaurant,Langkawi
"Came here in the morning to try out their thosai (even though they're known for their nasi kandar). The thosai was subpar, and the sambar (or some people know it, incorrectly, as dhaal) is cold.",neutral,3.0,google,Mohd.Yaseem Nasi Kandar Restaurant,KL
"CASHLESS PAYMENT ONLY !!!!The time to pay is only told ""CASHLESS PAYMENT"" ..",negative,1.0,google,Khan’s Indian Cuisine,Petaling Jaya
People who like sotong ...and its their curry mee,negative,2.0,google,Air Itam Sister Curry Mee,Penang
The carbonara pasta i had was phenomenal and the aroma of the herbs and spices used was so alluring I couldn't stopped myself. The price of the pasta was reasonable and the service was great the man that served me did a great at recommending the meal.,positive,5.0,google,Miller's Kitchen Restaurant,Melaka
"My friends & I were visiting this place due to high recommendations. We were there at 10.30am and went to check out the restaurant. We were told by a service crew that they only open at 11am. So we walked around and came back at 11am & asked if the same guy if we could be seated. What happened next was an insult to our intelligence!He said they will be open only at 11am, to which we replied it is already 11am.To our shock, the reply came back as , ""no, we are only open at 11am."" So we check our watches and our hand-phones and looked at him. He walked over to his counter and looked up and said , "" it is 10.45am now"". So we politely asked if we could be seated and he said ""No"". By this time we wanted to walk away and not waste time dining here but a friend insisted we dine in as the food was good.Thankfully, the food was better than the service but I will personally never recommend this restaurant as no amount of good food can make up for such horrible dishonest service crew!",negative,2.0,tripadvisor,Village Roast Duck,KL
"Great food and friendly staff! I don’t normally enjoy steak. But I had their Wagyu Steak (medium rare as per the waiter’s recommendation) and OMG it just melted in my mouth. Their Broccoli Salad is super with all the flavors coming together. Their Warm Lava Cake? Heavenly!With the taste and generous serving, it is worth every Malaysian Ringgit (I should know I’m only a Philippine peso-earner on a quick holiday). Terima kasih, Grill Bar Steakhouse!",positive,5.0,tripadvisor,Grill Bar,JB
"Good food, good place",positive,5.0,google,Restaurant Pusing Public,Ipoh
"I am Chinese, and hence my standard of Chinese food is unmistakably high. We have been to Beijing's famous ""Da dong"" for Peking duck a few times, and whilst we were not expecting Da dong standards, we were certainly surprised at the lifeless, somewhat soggy duck that came out of the kitchen. At first I thought it was just the colour- it must taste good. After all, this is a five star shangri-la hotel, right? The waitress was polite, and wrapped up the duck in the skin for us, which was nice. However, a few bites had proven my instincts right. The duck skin was greasy and soggy, not crispy at all! There was also a strange musk that my mom disliked, a lot. We could not force ourselves to eat it, and mentioned this to the waitress who seemed a bit embarrassed, and also agreed the skin ""isn't so crisp today"". Thankfully when I spoke to the manager (whom I had to catch the attention of, and not initiated by our lovely waitress), he was apologetic, and cancelled our order completely. We had a brief conversation what standards I was comparing to. I don't want to be unfair, but I have also sampled Peking duck in Singapore and Hong Kong, and has expected somewhat similar standards. I think it is a little ambitious to have such an extensive menu, and include something as difficult as Peking duck. It is difficult to be done properly. The sweet and sour pork we ordered was..... Just about ok. Not to my taste- there was still some sauce on the plate, which does not happen if in HK restaurants. All sauces would be stuck onto the meat itself, and not leaving a slightly watery fluid at the bottom of the plate. The pork was also cut into very thin strips, like the UK style takeaway crispy chilli beef, which I could only give them the benefit of hither doubt, that they are catering for foreigners! All the authentic sweet and sour pork I have grown up eating, are generous chunks of meat, not strips of 70% batter. The ""E Fu"" noodles we ordered were again not typical- it is the healthier, non fried type. Which is better for my health I suppose! But if you order this dish in a Cantonese restaurant, you will get thick strips of noodles (admittedly deep fried). The noodles taste good nonetheless. The best dish was our only vegetarian main- bitter gourd with tofu! It was up to scratch, and compliments were due. The staff were attentive and polite, even after I raised issues with the duck. They came to check that the rest of the dishes were ok, which I appreciated. I gave it two stars, not because the food is so horrendous- but because I expected so much more from an in house restaurant based in a reputable five star hotel, in the capital of Malaysia. You may get lucky and have a good experience, and the dishes on some other tables certainly looked ok. However, as a five star hotel restaurant, all food should be of a consistently excellent standard.",negative,2.0,tripadvisor,Shang Palace,KL
Good food.. clean.. well organized,positive,4.0,google,Minah Restaurant,Penang
"Went there for late breakfast. We ordered the ""Big Breakfast"" & ""Steak and Eggs"". Both were very well portioned for the price it was given. The beef they used was a 120g Australian beef.It was packed with customers however staff was quite attentive towards us. We then had a dessert to share which obtained meringue. I'm not a dessert person but this dessert was surprisingly nice. Ambience wise it was filled with lush greeneries which was pleasing to the eye. One thing that I would wish for is for the background music (if any) to be a little bit more louder to drown out the sounds of other customers talking. But that is just my opinion. Overall, my wife and I had a very pleasant meal. Kudos, to Kevin for getting us a table during the busy period. And to the other guy who was the manager for recommending the dessert. Will definitely be back.",positive,5.0,tripadvisor,Botanica+Co Restaurant & Bar,KL
"Good North Indian restaurant. Better decor, and quieter, than it's neighbouring South Indian restaurant",positive,4.0,google,Gem Restaurant PJ,Petaling Jaya
"It is the most delicious and cheapest street food I have ever had. Full of chinese, malaysian, thai etc food places, street sea food you can steam by yourself while sitting at your table. So much tasty and super cheap, you should never this place, if you love taking pictures of real life and good sea food go to this place especially in the evening",positive,5.0,tripadvisor,Jalan Alor Malaysian Street Food Kitchen (KLIA),KL
"Nice place to take Instagram-able pictures. Cold brew is great! Big breakfast is subpar. Mocha tasted like those canned drinks you can get from convenience stores. Cocktails are not done on order, so that might explain the cheaper price.",neutral,3.0,google,The Rabbit Hole,KL
Used my Trip Advisor app to find a good restaurant a little off the tourist strip and wasn't disappointed. The twice roasted pork in particular was fantastic and really enjoyed the indoor outdoor and somewhat rustic setting. Highly recommended.,positive,4.0,tripadvisor,Tek Sen Restaurant,Penang
"a bit of a dense, full table ... waiting to eat. But, fast food is ready after oder, fish is all fresh.sis oder red fish cook chili fat, it's delicious! Spicy red fish even power ... can try everything. salted squid",positive,5.0,google,Medan Selera Tepian Tebrau,JB
"Terrible, what service attitude is simply impolite, I do n’t know what is catering service when I am so old 😡😡😡😡",negative,1.0,google,Restoran Ya Wang 鸭皇药材烧腊大王,JB
Fast serve. Portion ok. Jiu hu char just ok,neutral,3.0,google,Winn's Cafe,Penang
"Super yummy chicken that is crispy on the outside and tender on the inside, with a tinge of ginseng marinade. The horfun we had was also very good, even though it was a supper we licked off both dishes",positive,5.0,tripadvisor,Restoran Tapai Tang,JB
"Our pre-dinner drink on the over the water tarps was a great way to start a fantastic night of dining. We had a glass of champagne and a whisky neat. A busy place for sunset drinks.We decided to go a la carte rather than the degustation menu. The seared Hokkaido scallops were cooked to perfection. We shared the Roasted Pumpkin Tortellini, which did not have a whole lot of flavour.For mains we had the Andaman Red Snapper which was very good with the purple sweet potato coconut, pineapple and laksa sauce, and the Larnaudie Duck Moulard, which my partner thought was rather average.We have been to some amazing restaurants in our own state, Hentley Farm, Penfolds Magill Estate, Orana, as well as overseas. Unfortunately, the Kayu Puti Langkawi did not pull up a 5 star meal with 5 star pricing. Our meal and a bottle of wine (not an expensive one, although they start at $100), was $350AUD which did not reflect the quality of food.The service was outstanding and the location superb.",neutral,3.0,tripadvisor,Kayuputi,Langkawi
"Although the place is small, it has all the internal organs. It is also very clean and comfortable.Have a chance to try delicious food.",positive,4.0,google,The CABIN 寒舍,Kuching
"We booked today a while back and when we arrived we were led to a table with balloons on it. It was a nice surprise because it was my friends birthday and she was delighted. The lasagna we ordered was delicious, and to top it off, we got a complimentary chocolate cake which was delicious! We also got the staff and the manager, Reuben, sing to my friend and check on us throughout the evening. Towards the end, the chef spoke to us as well and he was very sweet. I had a great time and will definitely be back for my birthday :) thanks to the staff, chef and Reuben, for making this night so special.",positive,5.0,tripadvisor,Favola Italian Restaurant,KL
"Average food, my dosa was ok Sambar was cold. This place is over rated!",negative,1.0,google,Thali-NR Sweets Cafe,Penang
👍👍,positive,5.0,google,Ishin Japanese Dining,KL
They have one of the worst waitress there. Not only she show that she is annoyed but also super sarcastic in the way she talk. So bad.. worse waitress experience ever..,negative,1.0,tripadvisor,Awesome Canteen at Sekeping Victoria,Penang
"Judging by the loads of Tourist bus, you would know this restaurant is a tourist hub. We went there for dinner & food average. Good decor.",neutral,3.0,tripadvisor,Hakka Restaurant,KL
"Good premium quality of Malaysian & Chinese food. If you wanna get something local but in comfort & premium service, here can be your place. The taste is good & I like the fried local seafood noodle.",positive,4.0,google,JP teres,KL
Neighborhood bar.,neutral,3.0,google,Vin's Restaurant,Petaling Jaya
Delicious pool beans. I eat meat.It's delicious .. I'll repeat later 😁😁😁,positive,4.0,google,Restoran Kacang Pool Haji,JB
"After a hectic couple of days in Singapore, Melaka is the perfect place to unwind. Sid's Bar offers a great selection of drinks, great looking food (we didn't eat), a relaxed atmosphere and a good view to watch the boats and the world go by.",positive,4.0,tripadvisor,Sid's Pub at Jonker's,Melaka
Good,positive,5.0,google,Min Hong Kee,Kuching
"If to compare the coffee that was served to us on the 19th Dec with the local coffee shop, we would rate it at 4/10. Coffee was not served at the correct temperate.Seriously, the Management needs to look into the food hygiene and how their staff carried themselves in the Restaurant. Touching those foods and putting them back on the display. My mum and I just stared at them and waiting for the waitresses reaction, luckily they threw them away since they are aware two pairs of eyes are watching them. But what if no one notice? We will not visit this place again ever.",negative,2.0,tripadvisor,Dome Cafe (Connections),KL
I wouldn't recommend this place because of the service. I told them about my food allergy to squid and they served it to me anyway. I brought out the food into the light and the girl in the front told me it was chicken (it looks nothing,negative,1.0,google,Iketeru,KL
"The bread was to die for! The crust was crunchy and the inside was warm and soft. By far my favourite!The rest of the meal although nice, lacked a bit of finesse in each of them in terms of flavour. That's my only bit of complaint  :) everything else was great",positive,4.0,google,Entier French Dining,Petaling Jaya
Food tastes dullVariety is disappointing for the price.Preparation of food was disappointing.,negative,2.0,google,"Zipangu, Shangri-La Hotel, Kuala Lumpur",KL
"Good atmosphere, beers are not expensive",neutral,3.0,google,Healy Mac's Irish Bar & Restaurant,Penang
"Great steak, grill chicken and signature salad. Worth coming back👍. Service is also very good. Forgot to pick up my deposit and they messaged me to check on the same day :)",positive,5.0,google,Grub by Ahong & Friends,Petaling Jaya
We were lucky we did not have to wait as we did not make any bookings. Staff was courteous andost friendly. Food was excellent. The pepper pig stomach soup was best. Must go again and again. The service is impeccable,positive,5.0,tripadvisor,Fei Fan Hotpot,KL
"I love vegan restaurants around the world, but this one was truly awful. Burger smelling of rotten mushrooms, rubber-like pasta and dull tomato sauce. Unbelievably bad",negative,1.0,tripadvisor,Pinxin Vegan Cuisine,Penang
Some of the best Mexican food we have ever had! Goos quality amazing and lovely staff. Went twice during our 3 day trip.,positive,5.0,tripadvisor,El Toro Langkawi - Mexican Bar & Grill,Langkawi
"Great cozy place, delicious food, friendly staff and value for money!We enjoy it...",positive,5.0,google,Let's Meat | American Restaurant | American Food | American Breakfast,Penang
Hokkien mee is normal as there is no *wok hei* but the kam heong lala is good 😁,neutral,3.0,google,Damansara Uptown Hokkien Mee (Uptown-HQ),Petaling Jaya
"I admit, their food, it's good. We had cod fish with crab meat sauce, baked prawns, risotto and salmon steak, they were all good. The set up, I am not so crazy about the ambience, I personally think its eerie. I almost always never had any problem with serving staffs anywhere, and I personally did not have any issue with the staffs in this restaurant. The staffs however had problems with other staffs due to a customer's complaint, we were told. There were shoutings at the bar or kitchen. Glasses or plates were broken or rather smashed in front of customers. I just hope that nobody had to drink or eat pieces of broken glass and plates.  If a supervisor had to bawl out a waiter, please do it in the backroom, or your office or virtually anywhere except in full view of your customers. The same applies to staff arguing openly amongst themselves. Customers are usually not entertained by this behavior. If a staff needs “correction,” take it outside–because its embarrassing for me having to witness bosses and staffs losing their cool. It gives me indigestion.",negative,1.0,tripadvisor,The Junk,Kuching
very good and service good too!,positive,5.0,google,The BBP,Petaling Jaya
"It's a shame the food was so bad because the service was the best we experienced in Kuala Lumpur. The restaurant also had an inviting atmosphere and complimentary decor. Mushroom soup had a great texture but was tasteless. The noodles for the fettuccine were undercooked and the sauce also lacked flavour. Finally, the creme brûlée came out for dessert and was likened to eating an omelette with grilled sugar on top. It literally tasted like eggs with the texture of a quiche. I wouldn't recommend eating at this restaurant until they get their kitchen chefs in order.",negative,2.0,tripadvisor,Neroteca,KL
"Went on my birthday to have a quiet dinner with family. It was really a surprise that they gave a complimentary drink and a little dessert in the midst of the dinner. I must say that it was really thoughtful for them to do so.As for the food of the day, the Japanese section offers sushi, tuna sashimi, mussels, scallops and cuttlefish. Not much but just a little of something. Other than that, a few dishes that's worth mentioning is their roast beef, Thai-styled mussels, smoked salmon rolls and beef rendang. To be fair, the buffet line selection was moderate but the quality of the food is good. Ambience and the services was excellent.",neutral,3.0,tripadvisor,Tiffin Restaurant,Ipoh
Birthday  celebration,positive,4.0,google,Lagenda House & Cafe,Penang
since 2006 i ate until now the taste never change and make my mouth watery whn i am far enuf to get the chicken rice 😂😂😂,positive,5.0,tripadvisor,Nasi Ayam Hainan Chee Meng,KL
"Not very Hainanese.   No pork chop.  Vegetables are fried,   thus not done the Hainanese. Dishes lack the burnt flour flavor which is distinctive of Hainanese dishes.  But that is my view.",negative,1.0,google,Hainanese Delights Restaurant Penang,Penang
"Authentic Japanese restaurant, with an excellent choice of menu's. 
The sushi was extremely fresh and the rice was excellent. 
We had a set menu with extra sushi. Prices are low for a Japanese restaurant and even moderate for Cenang restaurants.",positive,5.0,tripadvisor,Unkaizan,Langkawi
"this cafe good and nice .. also plus beautiful.. this suitable for spend time with family and friend . and the food so good , nice and delicious.. the service good if lunch hour the staff will be slow , if you eat at bangsar there also hard to get parking .. there a lot of food at menu...",neutral,3.0,google,The Daily Grind Bangsar,Petaling Jaya
"had a really great time at kampachi! food was nice, love the beef. didn't know what to order at first but Sorfina, our server, was really helpful and recommended a few things which we loved like the shishamo and unagi!  will return for sure!",positive,5.0,tripadvisor,Kampachi Plaza33,Petaling Jaya
"I have chosen the highest tier dinner package with VIP experience. But I don’t feel any VIP experience, as we are dinning all together in the same room, just extra 1 course meal than other package, not worth the extra price paid for VIP experience. If you are only there to watch projector show, indeed it is unique, but do not set high expectation on food, ordinary food where you can eat at any 5 star hotel in Kuala Lumpur. Won’t recommend to friend to paid that price for that projector experience only",negative,2.0,tripadvisor,Le Petit Chef at ELEMENTS,KL
"Nice, limited choices but it's all good, can't complain. Service was fast, friendly and prices was reasonable. Like it.",neutral,3.0,google,Kedai Kopi Seng Thor,Penang
Interesting dim sum selection and service is swift. Maybe the wait staff should smile a bit more!,neutral,3.0,google,Canning Dim Sum,Ipoh
Used to be Delicious....,negative,2.0,google,"Delicious, Bangsar Village 2",Petaling Jaya
"Good taste, and reasonable price. Must order Deep fried fish.",positive,4.0,google,Restoran Wong Koh Kee,Ipoh
"CMCO Dining. Good table service but steak cannot make it. Chef can’t tell the diff between rare and raw. Served us raw beef instead of med rare (see my pic). It was not evenly cooked. Sent it back and the chef insist it is med rare. Come on... The other things we had were ok - lobster bisque, crab cake, dessert. They gave us a complimentary dessert to make it up. However I would like to point that I could not accept the fact that the chef can’t even cook a medrare beef and yet telling me it is what it is. It’s not my first time having beef, it’s raw. Honestly disappointed with the chef and I will skip Prime until there is a new chef. Will NOT go back as long as this chef is still around. To add on, my request was a side table for privacy and when they arrived they gave me the table right at the entrance. They did change to a aide table but the point is what I said during reservation was not taken into consideration. There were plenty of private tables they didn’t allocate it to me. When I asked for the table they said it is reserved. I too, made a reservation are you indicating I did not make reservation? Honestly the whole experience was poor. Luckily the table service made it up. From reservation to chef, everything is bad. I last visited in 2014 and never came back for a reason and it reminded me why I didn’t return. It is still just as and be it food or reservation. I thought new chef will change things but it did not....",negative,2.0,tripadvisor,Prime,KL
"We had the grandkids with us, they did not go out of there way to accommodate them. Food was pretty bland.",neutral,3.0,tripadvisor,Ben's,KL
Not as great as i expected but good enough for a meal by d roadside,neutral,3.0,google,Hutton Lane Roti Bakar,Penang
"Food ordered Large Laksa RM11
Brooth is salty which overpowered most of the aromatics and fragrant ingredients , one of the prawns is not fresh . I would say a far cry from Breakfast of the Gods :)",neutral,3.0,tripadvisor,Choon Hui Cafe,Kuching
"For the price of RM198 the spread is extremely thin and the food is just sub par. The chicken satay was nice, oysters very fresh. But the rest is just very disappointing",negative,2.0,google,Lemon Garden Cafe,KL
Service is very slow and incorrect. Missed our food order and drinks orders. Drinks are not nice.,negative,2.0,google,Kuih Culture,Penang
"Went there for a quiet dinner out with family to celebrate. In with high spirits, left on a low. Never got the menu until 10-15 minutes later, after many attempts to ask for one. Ordering was even worse- they never came to take the orders even after one of us asked for a waiter, one of whom was at a station writing something. All we got was a curt ""Wait a minute"", and needless to say, we waited ages before we ordered anything- worse still, that waiter never even came to serve us. With orders done, we thought that the dinner would proceed smoothly, but we ended up with a missing dish- only one of 2 identical fish dishes arrived, leaving one of us without dinner for nearly 45 minutes. Hungry and irritated, the night was basically ruined. On the upside, the steak was great, but the other meals were poorly done. Roasted chicken was too dry, albeit saved by the tasty sauce, and the lamb was a tad too salty. Still, I went there to enjoy the company, and the terrible service truly did no wonders to that cause.",neutral,3.0,tripadvisor,The Junk,Kuching
Best place to eat seafood at kuching,positive,5.0,google,Topspot Food Court,Kuching
"Neroteca is located in a nice location with plenty of parking. Surrounded by residential area gives a sense of space.Not too many tables and booking is advised. Set up is pretty cozy having both tables and booth. Service was casual and yet efficient. You do not have the feeling that they just want to get your order and out you go like some restaurants.Menu is pretty complete – most of what u can think of when it comes to Italian. We ordered a lasagna and sea food pasta accompanied with some red wine. While waiting to be served, I was lucky enough to be seated next to a window with a bird’s eye view of the kitchen. Few things happening in the kitchen did not impress me. Kitchen helper sawing a T-bone into serving portions likely to be frozen. Throughout the dinner about 1.5 hours, he was interrupted with several other task and the cutting was still not completed when I left. Not the best way to treat a piece of good meat. Shell fish was from a frozen pack. Given the menu price, I would expect live or at least something from the fish market. I’m sure Bens would have them. Lasagna was OK but the dough was on the thicker side. Would have been nice if there was a little more meat and cheese. Seafood pasta was not great either. Seafood did not have the “fresh” taste or feeling. Overall service – 5, pricing – 3, ambience – 4, food – 3.",neutral,3.0,tripadvisor,Enoteca Vino & Cucina,KL
The asam pedas ikan pari is delicious but the asam pedas didn't have the spicy kick it's not to spicy,neutral,3.0,google,Asam Pedas Claypot 2 Restoran Kota Laksamana,Melaka
Staff ignore customer even though they see you calling for them. Spray cleaning liquid to customer. And tell customer food not available even though after 10 minutes they serve the same food to others.,negative,1.0,google,Village Roast Duck @ Sunway Pyramid,Petaling Jaya
"Good selection of pasta, salad, burger. Overall quality of food is just so so. Chicken breast is very very tough and dry. I would'nt service it for my guests. That is not easy to forgive. Lack of attention to detail. We need more",neutral,3.0,google,Let's Meat | American Restaurant | American Food | American Breakfast,Penang
It's great but I'd suggest for you to make a reservation first to avoid the long queue.,positive,4.0,google,K Fry Urban Korean Holiday Villa,JB
This place is always crowded when we patronize the famous Tin Tin Beef Noodle next door. We went on a Saturday to try out but it was super crowded and was told about 30 minutes waiting time. We decided to go somewhere else for lunch. We,neutral,3.0,google,Kedai Makan Jadi Baru Botak Asam Fish,JB
Not too delicious for me. Prefer rojak Kuchei more,negative,2.0,google,KUEH FAH CAFE,Kuching
